iter	MultiClass
0	1.027041325
1	0.9643973751
2	0.9109993064
3	0.8622683449
4	0.817752422
5	0.7768569808
6	0.7437798691
7	0.7113437272
8	0.683117916
9	0.6591519732
10	0.6370977101
11	0.6150692367
12	0.5961792913
13	0.5771088656
14	0.5593613644
15	0.5402023674
16	0.5274739787
17	0.512973835
18	0.5006630248
19	0.4899708346
20	0.479546592
21	0.4685287937
22	0.4567263695
23	0.4449386465
24	0.4345115453
25	0.4251434304
26	0.4168305527
27	0.4092983885
28	0.4007298667
29	0.393563537
30	0.3864462105
31	0.3785561269
32	0.3713842003
33	0.3667741906
34	0.360760795
35	0.3541915599
36	0.3482780133
37	0.3424055087
38	0.338059559
39	0.3333641861
40	0.3282141452
41	0.3227819382
42	0.3202603134
43	0.3159282628
44	0.3110465062
45	0.3063097226
46	0.3025282769
47	0.2985053598
48	0.2949714913
49	0.2912024588
50	0.2874910551
51	0.283240145
52	0.2796464923
53	0.2763813247
54	0.2728542414
55	0.2692613724
56	0.2676861559
57	0.2644623703
58	0.2609350903
59	0.2583627043
60	0.2552844515
61	0.2534114209
62	0.2517329753
63	0.2490886056
64	0.2465395216
65	0.2440707781
66	0.2421253857
67	0.2396264847
68	0.2379337421
69	0.2361240075
70	0.2341406995
71	0.2321262478
72	0.2300072909
73	0.2279284776
74	0.2259452629
75	0.2240963547
76	0.2224753694
77	0.2206956863
78	0.2184597735
79	0.2169059889
80	0.2158241044
81	0.2141334145
82	0.2122720295
83	0.2099528009
84	0.2077317836
85	0.2067167135
86	0.2049316057
87	0.2036460532
88	0.2018929855
89	0.2002141256
90	0.1996975878
91	0.1980187153
92	0.196622059
93	0.1956090535
94	0.1946128721
95	0.1938558506
96	0.1924550315
97	0.1908986896
98	0.1894010137
99	0.1876695101
