iter	Passed	Remaining
0	2	247
1	5	245
2	7	236
3	9	229
4	12	241
5	14	230
6	16	223
7	19	219
8	21	212
9	24	218
10	27	221
11	29	214
12	31	208
13	33	204
14	35	200
15	40	212
16	42	208
17	45	205
18	47	203
19	50	202
20	55	207
21	57	204
22	60	201
23	62	197
24	70	211
25	72	207
26	75	203
27	77	198
28	79	194
29	84	198
30	87	193
31	89	189
32	91	186
33	93	181
34	99	185
35	102	182
36	106	180
37	109	178
38	113	177
39	115	173
40	118	170
41	120	166
42	122	162
43	126	160
44	129	158
45	131	154
46	134	151
47	136	148
48	138	144
49	142	142
50	144	138
51	146	135
52	148	131
53	150	128
54	152	125
55	157	123
56	160	120
57	162	117
58	167	116
59	170	113
60	172	110
61	174	107
62	178	104
63	180	101
64	182	98
65	185	95
66	190	93
67	192	90
68	195	87
69	198	84
70	203	83
71	206	80
72	209	77
73	211	74
74	214	71
75	217	68
76	220	65
77	222	62
78	225	59
79	229	57
80	233	54
81	237	52
82	239	49
83	241	46
84	250	44
85	254	41
86	256	38
87	261	35
88	263	32
89	266	29
90	268	26
91	271	23
92	274	20
93	277	17
94	280	14
95	282	11
96	285	8
97	288	5
98	291	2
99	293	0
